 format: day,hour,forecast,value  location:102_83 Start : 20171201 
 5,2300,+55,308.000000 
 5,2300,+58,301.000000 
 5,2300,+61,306.000000 
 5,2300,+64,313.000000 
 6,0200,+4,294.000000 
 6,0200,+7,266.000000 
 6,0200,+10,291.000000 
 6,0200,+13,284.000000 
 6,0200,+16,297.000000 
 6,0200,+19,286.000000 
 6,0200,+22,284.000000 
 6,0200,+25,249.000000 
 6,0200,+28,267.000000 
 6,0200,+31,232.000000 
 6,0200,+34,339.000000 
 6,0200,+37,318.000000 
 6,0200,+40,305.000000 
 6,0200,+43,308.000000 
 6,0200,+46,309.000000 
 6,0200,+49,314.000000 
 6,0200,+52,308.000000 
 6,0200,+55,301.000000 
 6,0200,+58,306.000000 
 6,0200,+61,313.000000 
 6,0500,+4,266.000000 
 6,0500,+7,291.000000 
 6,0500,+10,284.000000 
 6,0500,+13,297.000000 
 6,0500,+16,286.000000 
 6,0500,+19,284.000000 
 6,0500,+22,249.000000 
 6,0500,+25,267.000000 
 6,0500,+28,232.000000 
 6,0500,+31,339.000000 
 6,0500,+34,318.000000 
 6,0500,+37,305.000000 
 6,0500,+40,308.000000 
 6,0500,+43,309.000000 
 6,0500,+46,314.000000 
 6,0500,+49,308.000000 
 6,0500,+52,301.000000 
 6,0500,+55,306.000000 
 6,0500,+58,313.000000 
 6,0800,+4,297.000000 
 6,0800,+7,286.000000 
 6,0800,+10,305.000000 
 6,0800,+13,294.000000 
 6,0800,+16,257.000000 
 6,0800,+19,261.000000 
 6,0800,+22,278.000000 
 6,0800,+25,236.000000 
 6,0800,+28,323.000000 
 6,0800,+31,315.000000 
 6,0800,+34,308.000000 
 6,0800,+37,315.000000 
 6,0800,+40,308.000000 
 6,0800,+43,306.000000 
 6,0800,+46,308.000000 
 6,0800,+49,303.000000 
 6,0800,+52,304.000000 
 6,0800,+55,313.000000 
 6,1100,+4,286.000000 
 6,1100,+7,305.000000 
 6,1100,+10,294.000000 
 6,1100,+13,257.000000 
 6,1100,+16,261.000000 
 6,1100,+19,278.000000 
 6,1100,+22,236.000000 
 6,1100,+25,323.000000 
 6,1100,+28,315.000000 
 6,1100,+31,308.000000 
 6,1100,+34,315.000000 
 6,1100,+37,308.000000 
 6,1100,+40,306.000000 
 6,1100,+43,308.000000 
 6,1100,+46,303.000000 
 6,1100,+49,304.000000 
 6,1100,+52,313.000000 
 6,1400,+4,305.000000 
 6,1400,+7,294.000000 
 6,1400,+10,257.000000 
 6,1400,+13,261.000000 
 6,1400,+16,278.000000 
 6,1400,+19,236.000000 
 6,1400,+22,323.000000 
 6,1400,+25,315.000000 
 6,1400,+28,308.000000 
 6,1400,+31,315.000000 
 6,1400,+34,308.000000 
 6,1400,+37,306.000000 
 6,1400,+40,308.000000 
 6,1400,+43,303.000000 
 6,1400,+46,304.000000 
 6,1400,+49,313.000000 
 6,1700,+4,294.000000 
 6,1700,+7,257.000000 
 6,1700,+10,261.000000 
 6,1700,+13,278.000000 
 6,1700,+16,236.000000 
 6,1700,+19,323.000000 
 6,1700,+22,315.000000 
 6,1700,+25,308.000000 
 6,1700,+28,315.000000 
 6,1700,+31,308.000000 
 6,1700,+34,306.000000 
 6,1700,+37,308.000000 
 6,1700,+40,303.000000 
 6,1700,+43,304.000000 
 6,1700,+46,313.000000 
 6,2000,+4,319.000000 
 6,2000,+7,346.000000 
 6,2000,+10,319.000000 
 6,2000,+13,324.000000 
 6,2000,+16,320.000000 
 6,2000,+19,313.000000 
 6,2000,+22,315.000000 
 6,2000,+25,308.000000 
 6,2000,+28,307.000000 
 6,2000,+31,309.000000 
 6,2000,+34,310.000000 
 6,2000,+37,304.000000 
 6,2000,+40,307.000000 
 6,2000,+43,311.000000 
 6,2000,+46,297.000000 
 6,2000,+49,261.000000 
 6,2000,+52,247.000000 
 6,2000,+55,249.000000 
 6,2000,+58,262.000000 
 6,2000,+61,213.000000 
 6,2000,+64,241.000000 
 6,2000,+67,299.000000 
 6,2300,+4,346.000000 
 6,2300,+7,319.000000 
 6,2300,+10,324.000000 
 6,2300,+13,320.000000 
 6,2300,+16,313.000000 
 6,2300,+19,315.000000 
 6,2300,+22,308.000000 
 6,2300,+25,307.000000 
 6,2300,+28,309.000000 
 6,2300,+31,310.000000 
 6,2300,+34,304.000000 
 6,2300,+37,307.000000 
 6,2300,+40,311.000000 
 6,2300,+43,297.000000 
 6,2300,+46,261.000000 
 6,2300,+49,247.000000 
 6,2300,+52,249.000000 
 6,2300,+55,262.000000 
 6,2300,+58,213.000000 
 6,2300,+61,241.000000 
 6,2300,+64,299.000000 
 7,0200,+4,319.000000 
 7,0200,+7,324.000000 
 7,0200,+10,320.000000 
 7,0200,+13,313.000000 
 7,0200,+16,315.000000 
 7,0200,+19,308.000000 
 7,0200,+22,307.000000 
 7,0200,+25,309.000000 
 7,0200,+28,310.000000 
 7,0200,+31,304.000000 
 7,0200,+34,307.000000 
 7,0200,+37,311.000000 
 7,0200,+40,297.000000 
 7,0200,+43,261.000000 
 7,0200,+46,247.000000 
 7,0200,+49,249.000000 
 7,0200,+52,262.000000 
 7,0200,+55,213.000000 
 7,0200,+58,241.000000 
 7,0200,+61,299.000000 
 7,0500,+4,324.000000 
 7,0500,+7,320.000000 
 7,0500,+10,313.000000 
 7,0500,+13,315.000000 
 7,0500,+16,308.000000 
 7,0500,+19,307.000000 
 7,0500,+22,309.000000 
 7,0500,+25,310.000000 
 7,0500,+28,304.000000 
 7,0500,+31,307.000000 
 7,0500,+34,311.000000 
 7,0500,+37,297.000000 
 7,0500,+40,261.000000 
